,bgcolor,dx,dy,edgecolor,frame,play,player,player_num,team,x,y,z
0,red,0,0,black,0,ARSVSCHE,1,,attack,33.93581158,29.49544986,0
1,red,0.199891255,-0.23108402,black,1,ARSVSCHE,1,,attack,33.73592033,29.72653388,0
2,red,-0.059237637,-0.046646062,black,2,ARSVSCHE,1,,attack,33.79515797,29.77317995,0
3,red,-0.192182817,0.381738054,black,3,ARSVSCHE,1,,attack,33.98734078,29.39144189,0
4,red,-0.070393149,0.358079421,black,4,ARSVSCHE,1,,attack,34.05773393,29.03336247,0
5,red,0.185574842,-0.136077464,black,5,ARSVSCHE,1,,attack,33.87215909,29.16943994,0
6,red,0.221934316,-0.457558067,black,6,ARSVSCHE,1,,attack,33.65022478,29.626998,0
7,red,0.14685835,-0.291401307,black,7,ARSVSCHE,1,,attack,33.50336643,29.91839931,0
8,red,0.064149392,0.015239968,black,8,ARSVSCHE,1,,attack,33.43921703,29.90315934,0
9,red,0.053399725,-0.213083791,black,9,ARSVSCHE,1,,attack,33.38581731,30.11624313,0
10,red,-0.068853022,0.002232143,black,10,ARSVSCHE,1,,attack,33.45467033,30.11401099,0
11,blue,14.40069279,-64.11867465,black,0,ARSVSCHE,2,,attack,36.4011015,30.20791448,0
12,blue,0.07441777,0.025950612,black,1,ARSVSCHE,2,,attack,36.32668373,30.18196387,0
13,blue,0.011420871,-0.392446096,black,2,ARSVSCHE,2,,attack,36.31526286,30.57440997,0
14,blue,-0.170064311,0.252950175,black,3,ARSVSCHE,2,,attack,36.48532717,30.32145979,0
15,blue,-0.095274517,0.35442162,black,4,ARSVSCHE,2,,attack,36.58060169,29.96703817,0
16,blue,0.129927364,0.094972736,black,5,ARSVSCHE,2,,attack,36.45067433,29.87206543,0
17,blue,0.158263611,-0.406952423,black,6,ARSVSCHE,2,,attack,36.29241071,30.27901786,0
18,blue,0.073489011,-0.139423077,black,7,ARSVSCHE,2,,attack,36.2189217,30.41844093,0
19,blue,0.082058566,-0.138127498,black,8,ARSVSCHE,2,,attack,36.13686314,30.55656843,0
20,blue,0.086730977,-0.069779179,black,9,ARSVSCHE,2,,attack,36.05013216,30.62634761,0
21,blue,-0.050329878,-0.327885656,black,10,ARSVSCHE,2,,attack,36.10046204,30.95423327,0
22,blue,23.36868343,-12.2386915,black,0,ARSVSCHE,3,,attack,36.21350473,55.95248024,0
23,blue,0.017523645,-0.312598814,black,1,ARSVSCHE,3,,attack,36.19598108,56.26507905,0
24,blue,-0.114395116,-0.135128458,black,2,ARSVSCHE,3,,attack,36.3103762,56.40020751,0
25,blue,-0.246016375,0.394149492,black,3,ARSVSCHE,3,,attack,36.55639257,56.00605802,0
26,blue,-0.241320582,0.95628035,black,4,ARSVSCHE,3,,attack,36.79771316,55.04977767,0
27,blue,-0.04877188,0.970426313,black,5,ARSVSCHE,3,,attack,36.84648504,54.07935136,0
28,blue,-0.080357143,0.587485884,black,6,ARSVSCHE,3,,attack,36.92684218,53.49186547,0
29,blue,-0.147039102,-0.49846485,black,7,ARSVSCHE,3,,attack,37.07388128,53.99033032,0
30,blue,-0.097680512,-0.133518316,black,8,ARSVSCHE,3,,attack,37.17156179,54.12384864,0
31,blue,0.057197558,-0.40128282,black,9,ARSVSCHE,3,,attack,37.11436424,54.52513146,0
32,blue,-0.056201853,-0.114620725,black,10,ARSVSCHE,3,,attack,37.17056609,54.63975218,0
33,blue,24.13334742,1.759991435,black,0,ARSVSCHE,4,,attack,20.10612825,49.14630682,0
34,blue,0.019277597,-0.688920455,black,1,ARSVSCHE,4,,attack,20.08685065,49.83522727,0
35,blue,-0.024350649,-0.227272727,black,2,ARSVSCHE,4,,attack,20.1112013,50.0625,0
36,blue,-0.368303571,0.543912338,black,3,ARSVSCHE,4,,attack,20.47950487,49.51858766,0
37,blue,-0.341112013,0.789656772,black,4,ARSVSCHE,4,,attack,20.82061688,48.72893089,0
38,blue,-0.090300325,0.198631725,black,5,ARSVSCHE,4,,attack,20.91091721,48.53029917,0
39,blue,0.115527362,-0.233743547,black,6,ARSVSCHE,4,,attack,20.79538985,48.76404271,0
40,blue,0.017677748,-0.335814612,black,7,ARSVSCHE,4,,attack,20.7777121,49.09985732,0
41,blue,-0.035281973,-0.420797874,black,8,ARSVSCHE,4,,attack,20.81299407,49.5206552,0
42,blue,-0.019786138,-0.734574191,black,9,ARSVSCHE,4,,attack,20.83278021,50.25522939,0
43,blue,-0.283974449,-0.095112225,black,10,ARSVSCHE,4,,attack,21.11675466,50.35034161,0
44,blue,27.64903141,47.27379794,black,0,ARSVSCHE,5,,attack,22.26293313,64.82545133,0
45,blue,-0.18912221,0.239946027,black,1,ARSVSCHE,5,,attack,22.45205534,64.5855053,0
46,blue,-0.130278306,0.073138248,black,2,ARSVSCHE,5,,attack,22.58233365,64.51236705,0
47,blue,-0.368947907,0.571391836,black,3,ARSVSCHE,5,,attack,22.95128156,63.94097522,0
48,blue,-0.205762337,0.890055969,black,4,ARSVSCHE,5,,attack,23.1570439,63.05091925,0
49,blue,-0.168549327,1.20309806,black,5,ARSVSCHE,5,,attack,23.32559322,61.84782119,0
50,blue,-0.05623551,0.934472525,black,6,ARSVSCHE,5,,attack,23.38182873,60.91334866,0
51,blue,-0.034777871,-0.460966054,black,7,ARSVSCHE,5,,attack,23.4166066,61.37431471,0
52,blue,-0.073735428,-0.259094862,black,8,ARSVSCHE,5,,attack,23.49034203,61.63340958,0
53,blue,0.146571458,-0.687345704,black,9,ARSVSCHE,5,,attack,23.34377057,62.32075528,0
54,blue,0.089583707,-0.464616125,black,10,ARSVSCHE,5,,attack,23.25418687,62.78537141,0
55,red,2.727179241,1.249471284,black,0,ARSVSCHE,6,,attack,19.6569287,59.02972594,0
56,red,0.040709909,-0.877471826,black,1,ARSVSCHE,6,,attack,19.61621879,59.90719777,0
57,red,-0.265008579,0.653411084,black,2,ARSVSCHE,6,,attack,19.88122737,59.25378668,0
58,red,-0.508351385,1.337810899,black,3,ARSVSCHE,6,,attack,20.38957875,57.91597578,0
59,red,-0.252999084,0.799264856,black,4,ARSVSCHE,6,,attack,20.64257784,57.11671093,0
60,red,-0.068764309,0.658693433,black,5,ARSVSCHE,6,,attack,20.71134215,56.45801749,0
61,red,0.087382669,0.365807673,black,6,ARSVSCHE,6,,attack,20.62395948,56.09220982,0
62,red,-0.112826236,0.38828125,black,7,ARSVSCHE,6,,attack,20.73678571,55.70392857,0
63,red,-0.130401786,0.03535886,black,8,ARSVSCHE,6,,attack,20.8671875,55.66856971,0
64,red,-0.12109375,0.104417067,black,9,ARSVSCHE,6,,attack,20.98828125,55.56415264,0
65,red,-0.12109375,0.104417067,black,10,ARSVSCHE,6,,attack,21.109375,55.45973558,0
66,blue,45.82197939,-7.640223394,black,0,ARSVSCHE,7,,attack,43.55581992,56.15883373,0
67,blue,0.002657313,-0.383715986,black,1,ARSVSCHE,7,,attack,43.55316261,56.54254971,0
68,blue,-0.094027996,-0.124280481,black,2,ARSVSCHE,7,,attack,43.64719061,56.66683019,0
69,blue,-0.268799653,0.607982791,black,3,ARSVSCHE,7,,attack,43.91599026,56.0588474,0
70,blue,-0.230306895,0.910211812,black,4,ARSVSCHE,7,,attack,44.14629716,55.14863559,0
71,blue,0.050199057,0.868545145,black,5,ARSVSCHE,7,,attack,44.0960981,54.28009045,0
72,blue,-0.073718692,0.380044063,black,6,ARSVSCHE,7,,attack,44.16981679,53.90004638,0
73,blue,-0.373231679,-0.490897495,black,7,ARSVSCHE,7,,attack,44.54304847,54.39094388,0
74,blue,-0.196936507,-0.52170636,black,8,ARSVSCHE,7,,attack,44.73998498,54.91265024,0
75,blue,0.08204648,-0.302607654,black,9,ARSVSCHE,7,,attack,44.6579385,55.21525789,0
76,blue,0.060969472,0.399233854,black,10,ARSVSCHE,7,,attack,44.59696902,54.81602404,0
77,red,54.5577687,45.27839657,black,0,ARSVSCHE,8,,attack,35.47247024,3.891369048,0
78,red,0.17485119,-0.543154762,black,1,ARSVSCHE,8,,attack,35.29761905,4.43452381,0
79,red,-0.245535714,-0.424107143,black,2,ARSVSCHE,8,,attack,35.54315476,4.858630952,0
80,red,-0.288690476,0.239583333,black,3,ARSVSCHE,8,,attack,35.83184524,4.619047619,0
81,red,-0.09672619,0.516369048,black,4,ARSVSCHE,8,,attack,35.92857143,4.102678571,0
82,red,0.062202381,0.119940476,black,5,ARSVSCHE,8,,attack,35.86636905,3.982738095,0
83,red,0.03125,-0.290178571,black,6,ARSVSCHE,8,,attack,35.83511905,4.272916667,0
84,red,0.086904762,-0.183333333,black,7,ARSVSCHE,8,,attack,35.74821429,4.45625,0
85,red,0.026785714,-0.053571429,black,8,ARSVSCHE,8,,attack,35.72142857,4.509821429,0
86,red,-0.092857143,-0.11875,black,9,ARSVSCHE,8,,attack,35.81428571,4.628571429,0
87,red,-0.267559524,-0.003869048,black,10,ARSVSCHE,8,,attack,36.08184524,4.632440476,0
88,blue,26.86764245,-28.8534504,black,0,ARSVSCHE,9,,attack,23.70681729,86.45179691,0
89,blue,-0.427514851,1.776141422,black,1,ARSVSCHE,9,,attack,24.13433214,84.67565549,0
90,blue,-0.144824407,0.629614914,black,2,ARSVSCHE,9,,attack,24.27915655,84.04604058,0
91,blue,-0.382308148,0.957599073,black,3,ARSVSCHE,9,,attack,24.6614647,83.0884415,0
92,blue,-0.233077336,0.867624949,black,4,ARSVSCHE,9,,attack,24.89454203,82.22081655,0
93,blue,-0.171643944,1.1322411,black,5,ARSVSCHE,9,,attack,25.06618598,81.08857545,0
94,blue,0.1202801,0.011257457,black,6,ARSVSCHE,9,,attack,24.94590588,81.077318,0
95,blue,0.19194025,-2.27033692,black,7,ARSVSCHE,9,,attack,24.75396563,83.34765492,0
96,blue,-0.05495251,-0.704773798,black,8,ARSVSCHE,9,,attack,24.80891814,84.05242871,0
97,blue,0.06375886,-0.544762904,black,9,ARSVSCHE,9,,attack,24.74515928,84.59719162,0
98,blue,-0.043427185,-0.081728299,black,10,ARSVSCHE,9,,attack,24.78858646,84.67891992,0
99,blue,7.311209117,-20.30414142,black,0,ARSVSCHE,10,,attack,43.4575105,41.79396008,0
100,blue,0.100052521,-0.350052521,black,1,ARSVSCHE,10,,attack,43.35745798,42.14401261,0
101,blue,-0.104516807,-0.24842437,black,2,ARSVSCHE,10,,attack,43.46197479,42.39243697,0
102,blue,-0.255514706,0.485031513,black,3,ARSVSCHE,10,,attack,43.7174895,41.90740546,0
103,blue,-0.027498499,0.458508403,black,4,ARSVSCHE,10,,attack,43.744988,41.44889706,0
104,blue,0.067166867,0.479884454,black,5,ARSVSCHE,10,,attack,43.67782113,40.96901261,0
105,blue,0.037285227,0.257123162,black,6,ARSVSCHE,10,,attack,43.6405359,40.71188944,0
106,blue,-0.266670731,0.196264443,black,7,ARSVSCHE,10,,attack,43.90720663,40.515625,0
107,blue,-0.100694965,-0.072708771,black,8,ARSVSCHE,10,,attack,44.0079016,40.58833377,0
108,blue,-0.054729704,-0.269990809,black,9,ARSVSCHE,10,,attack,44.0626313,40.85832458,0
109,blue,-0.082819065,0.140789128,black,10,ARSVSCHE,10,,attack,44.14545037,40.71753545,0
110,red,18.49237939,21.39525586,black,0,ARSVSCHE,11,,attack,27.17795139,22.51599702,0
111,red,0.230034722,-0.961681548,black,1,ARSVSCHE,11,,attack,26.94791667,23.47767857,0
112,red,-0.182291667,-0.212053571,black,2,ARSVSCHE,11,,attack,27.13020833,23.68973214,0
113,red,-0.345982143,0.591517857,black,3,ARSVSCHE,11,,attack,27.47619048,23.09821429,0
114,red,-0.077380952,0.142857143,black,4,ARSVSCHE,11,,attack,27.55357143,22.95535714,0
115,red,0.298971861,-0.779220779,black,5,ARSVSCHE,11,,attack,27.25459957,23.73457792,0
116,red,0.266620284,-0.737824675,black,6,ARSVSCHE,11,,attack,26.98797928,24.4724026,0
117,red,0.07538072,0.20799513,black,7,ARSVSCHE,11,,attack,26.91259856,24.26440747,0
118,red,-0.018118043,0.09963474,black,8,ARSVSCHE,11,,attack,26.9307166,24.16477273,0
119,red,0.12012541,-0.505182318,black,9,ARSVSCHE,11,,attack,26.81059119,24.66995504,0
120,red,-0.082306087,-0.26791958,black,10,ARSVSCHE,11,,attack,26.89289728,24.93787463,0
121,blue,61.83094662,31.05736217,black,0,ARSVSCHE,12,,attack,31.49590774,7.954985119,0
122,blue,0.396205357,-1.110491071,black,1,ARSVSCHE,12,,attack,31.09970238,9.06547619,0
123,blue,-0.336681548,0.671502976,black,2,ARSVSCHE,12,,attack,31.43638393,8.393973214,0
124,blue,-0.435852466,0.975393282,black,3,ARSVSCHE,12,,attack,31.87223639,7.418579932,0
125,blue,-0.089870323,0.089232568,black,4,ARSVSCHE,12,,attack,31.96210672,7.329347364,0
126,blue,0.386851616,-1.182769983,black,5,ARSVSCHE,12,,attack,31.5752551,8.512117347,0
127,blue,0.283163265,-1.022959184,black,6,ARSVSCHE,12,,attack,31.29209184,9.535076531,0
128,blue,0.148596939,-0.390306122,black,7,ARSVSCHE,12,,attack,31.1434949,9.925382653,0
129,blue,-0.021683673,-0.016581633,black,8,ARSVSCHE,12,,attack,31.16517857,9.941964286,0
130,blue,-0.118622449,0.215561224,black,9,ARSVSCHE,12,,attack,31.28380102,9.726403061,0
131,blue,-0.241071429,0.093112245,black,10,ARSVSCHE,12,,attack,31.52487245,9.633290816,0
132,blue,15.56498723,-5.155807788,black,0,ARSVSCHE,13,,attack,34.84257669,31.14118508,0
133,blue,0.126345009,-0.37580537,black,1,ARSVSCHE,13,,attack,34.71623168,31.51699045,0
134,blue,-0.036343864,-0.227098051,black,2,ARSVSCHE,13,,attack,34.75257555,31.7440885,0
135,blue,-0.192479396,0.552075157,black,3,ARSVSCHE,13,,attack,34.94505495,31.19201334,0
136,blue,-0.099645147,0.659888475,black,4,ARSVSCHE,13,,attack,35.04470009,30.53212487,0
137,blue,0.091403388,0.303416078,black,5,ARSVSCHE,13,,attack,34.9532967,30.22870879,0
138,blue,0.100446429,0.015625,black,6,ARSVSCHE,13,,attack,34.85285027,30.21308379,0
139,blue,0.049793956,0.160370879,black,7,ARSVSCHE,13,,attack,34.80305632,30.05271291,0
140,blue,0.022664835,-0.024725275,black,8,ARSVSCHE,13,,attack,34.78039148,30.07743819,0
141,blue,-0.052655678,-0.202838828,black,9,ARSVSCHE,13,,attack,34.83304716,30.28027701,0
142,blue,-0.179716117,-0.206272894,black,10,ARSVSCHE,13,,attack,35.01276328,30.48654991,0
143,blue,0.725122867,-66.98147697,black,1,ARSVSCHE,14,,attack,32.8946688,99.2991853,0
144,blue,-0.067671626,0.822098379,black,2,ARSVSCHE,14,,attack,32.96234043,98.47708692,0
145,blue,-0.312790429,0.316523728,black,3,ARSVSCHE,14,,attack,33.27513085,98.16056319,0
146,blue,-0.155653951,0.106737494,black,4,ARSVSCHE,14,,attack,33.43078481,98.0538257,0
147,blue,0.056464512,0.561287623,black,5,ARSVSCHE,14,,attack,33.37432029,97.49253808,0
148,blue,0.134499393,0.048668853,black,6,ARSVSCHE,14,,attack,33.2398209,97.44386922,0
149,blue,-0.215215684,-0.9558559,black,7,ARSVSCHE,14,,attack,33.45503658,98.39972512,0
150,blue,-0.237704098,-1.125184296,black,8,ARSVSCHE,14,,attack,33.69274068,99.52490942,0
151,blue,-0.025269313,-0.035216906,black,9,ARSVSCHE,14,,attack,33.71801,99.56012633,0
152,blue,0.024192235,0.633687391,black,10,ARSVSCHE,14,,attack,33.69381776,98.92643893,0
153,red,18.58055568,-21.53139925,black,3,ARSVSCHE,16,,attack,30.19216424,72.50553523,0
154,red,-0.57856958,1.260344223,black,4,ARSVSCHE,16,,attack,30.77073381,71.24519101,0
155,red,-0.008604411,1.180323777,black,5,ARSVSCHE,16,,attack,30.77933823,70.06486723,0
156,red,0.001303368,0.28371761,black,6,ARSVSCHE,16,,attack,30.77803486,69.78114962,0
157,red,-0.005295093,-1.284901181,black,7,ARSVSCHE,16,,attack,30.78332995,71.0660508,0
158,red,-0.038263217,-0.423422884,black,8,ARSVSCHE,16,,attack,30.82159317,71.48947369,0
159,red,0.148996742,-0.493546157,black,9,ARSVSCHE,16,,attack,30.67259642,71.98301984,0
160,red,-0.092910679,0.121024346,black,10,ARSVSCHE,16,,attack,30.7655071,71.8619955,0
161,blue,24.92034547,-18.19384094,black,7,ARSVSCHE,17,,attack,33.67441716,62.44769386,0
162,blue,0.139663938,-0.488930248,black,8,ARSVSCHE,17,,attack,33.53475322,62.93662411,0
163,blue,0.082000248,0.621683469,black,9,ARSVSCHE,17,,attack,33.45275298,62.31494064,0
164,blue,-0.053187481,0.668484882,black,10,ARSVSCHE,17,,attack,33.50594046,61.64645576,0
165,blue,73.11422475,20.88153152,black,7,ARSVSCHE,18,,attack,25.67518939,15.77943723,0
166,blue,0.129419192,-0.252119408,black,8,ARSVSCHE,18,,attack,25.5457702,16.03155664,0
167,blue,0.036300505,-0.092983405,black,9,ARSVSCHE,18,,attack,25.5094697,16.12454004,0
168,blue,0.149729437,-0.49396645,black,10,ARSVSCHE,18,,attack,25.35974026,16.61850649,0
